id,category_id,minihongo,english,japanese,definition_minihongo,english_litteral,example_minihongo,example_english,example_japanese,sort_order
word-1,cat-1,人【ひと】,"person, people",人間、ひと,考【かんが】える事【こと】ができる生【い】き物【もの】,,あの人【ひと】は誰【だれ】？,,あの人は誰？,1
word-2,cat-1,私【わたし】,"I, me",自分、わたくし,今【いま】言【い】っている人【ひと】,,私【わたし】は人【ひと】だ。,,私は人だ。,2
word-3,cat-1,あなた,you,あなた、相手,聞【き】いている人【ひと】,,あなたは誰【だれ】？,,あなたは誰？,3
word-4,cat-1,誰【だれ】,who,誰、何者,どの人【ひと】かを聞【き】く言【こと】葉【ば】,,誰【だれ】が来【く】る？,,誰が来る？,4
word-5,cat-1,男【おとこ】,"man, male",男性,父【ちち】になれる人【ひと】,,あの男【おとこ】は大人【おとな】だ。,,あの男は大人だ。,5
word-6,cat-1,女【おんな】,"woman, female",女性,母【はは】になれる人【ひと】,,あの女【おんな】は母【はは】だ。,,あの女は母だ。,6
word-7,cat-1,子供【こども】,child,子供、幼い人,まだ大【おお】きくない人【ひと】,,子供【こども】は外【そと】で遊【あそ】ぶ。,,子供は外で遊ぶ。,7
word-8,cat-1,母【はは】,mother,母親,子供【こども】を作【つく】った女【おんな】の人【ひと】,,母【はは】は食【た】べ物【もの】を作【つく】る。,,母は食べ物を作る。,8
word-9,cat-1,父【ちち】,father,父親,子供【こども】を作【つく】った男【おとこ】の人【ひと】,,父【ちち】は山【やま】に行【い】く。,,父は山に行く。,9
word-10,cat-2,物【もの】,thing (concrete),品物、もの,目【め】で見【み】える何【なに】か,,この物【もの】は何【なん】だ？,,この物は何だ？,10
word-11,cat-2,事【こと】,"thing (abstract), matter",事柄、抽象的なこと,目【め】で見【み】えない何【なに】か。する事【こと】や考【かんが】え。,,その事【こと】は必要【ひつよう】だ。,,その事は必要だ。,11
word-12,cat-2,何【なに】,what,何、不明なもの,知【し】らないものを聞【き】く言【こと】葉【ば】,,何【なに】を食【た】べる？,,何を食べる？,12
word-13,cat-2,石【いし】,stone,石、岩,土【つち】から出【で】る重【おも】い物【もの】,,道【みち】に石【いし】がある。,,道に石がある。,13
word-14,cat-2,木【き】,"tree, wood",樹木、木材,土【つち】から上【うえ】に大【おお】きくなる生【い】き物【もの】,,山【やま】に木【き】がある。,,山に木がある。,14
word-15,cat-2,土【つち】,"soil, earth",土壌、大地,外【そと】の下【した】にあるもの。草【くさ】と木【き】はここから出【で】る。,,土【つち】の中【なか】に草【くさ】がある。,,土の中に草がある。,15
word-16,cat-2,服【ふく】,clothes,衣服,体【からだ】に着【き】る物【もの】,,新【あたら】しい服【ふく】を着【き】る。,,新しい服を着る。,16
word-17,cat-2,本【ほん】,book,書物,言【こと】葉【ば】を書【か】いた物【もの】。読【よ】む物【もの】。,,本【ほん】を読【よ】む。,,本を読む。,17
word-18,cat-2,お金【かね】,money,貨幣、通貨,これで物【もの】を買【か】える,,お金【かね】で食【た】べ物【もの】を買【か】う。,,お金で食べ物を買う。,18
word-19,cat-3,水【みず】,water,水、液体,飲【の】むもの。海【うみ】と雨【あめ】はこれ。,,水【みず】を飲【の】む。,,水を飲む。,19
word-20,cat-3,火【ひ】,fire,炎、火,暑【あつ】くて明【あか】るいもの,,火【ひ】は暑【あつ】い。,,火は暑い。,20
word-21,cat-3,暑【あつ】い,hot (weather),気温が高い,火【ひ】のような感【かん】じ。寒【さむ】くない。,,外【そと】は暑【あつ】い。,,外は暑い。,21
